timestamp,player_num,timer,has_round_started,is_round_over,fight_result,p1_character_id,p1_health,p1_x,p1_y,p1_jumping,p1_crouching,p1_is_player_in_move,p1_move_id,p2_character_id,p2_health,p2_x,p2_y,p2_jumping,p2_crouching,p2_is_player_in_move,p2_move_id,distance_between_players,a,b,x,y,l,r,start,select,up,down,left,right
2025-05-09 21:51:18.991612,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,False,False,False,False,False,False,True,False,True
2025-05-09 21:51:19.014622,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,False,False,False,False,False,False,False,False,False
2025-05-09 21:51:19.031641,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,True,False,False,False,False,False,False,False,True
2025-05-09 21:51:19.052274,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,False,False,False,False,False,False,False,False,False
2025-05-09 21:51:19.071174,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,False,False,False,False,False,False,False,False,False
2025-05-09 21:51:19.089377,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,True,False,False,False,False,False,False,True,False,False,True
2025-05-09 21:51:19.107858,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,False,False,False,False,False,False,False,False,False
2025-05-09 21:51:19.125356,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,False,False,False,False,False,False,False,False,False
2025-05-09 21:51:19.142439,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,False,False,False,False,False,False,False,False,True
2025-05-09 21:51:19.160749,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,False,False,False,False,False,False,True,False,True
2025-05-09 21:51:19.178244,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,False,False,False,False,False,False,False,False,False
2025-05-09 21:51:19.195106,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,False,False,False,False,False,False,True,False,False
2025-05-09 21:51:19.212990,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,False,False,False,False,False,False,True,True,False
2025-05-09 21:51:19.229942,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,False,False,False,False,False,False,False,False,False
2025-05-09 21:51:19.250904,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,True,False,False,False,False,False,False,True,False
2025-05-09 21:51:19.270669,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,False,False,False,False,False,False,False,False,False
2025-05-09 21:51:19.290181,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,False,False,False,False,False,False,False,False,False
2025-05-09 21:51:19.308395,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,True,False,False,False,False,False,False,True,False,False,True
2025-05-09 21:51:19.328322,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,False,False,False,False,False,False,False,False,False
2025-05-09 21:51:19.345186,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,False,False,False,False,False,False,False,False,False
2025-05-09 21:51:19.363145,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,True,False,False,False,False,False,False,True,False,False,True
2025-05-09 21:51:19.382454,1,100,True,False,NOT_OVER,7,176,132,192,False,False,False,0,4,176,307,192,False,False,False,0,175,False,False,False,False,False,False,False,False,False,False,False,False
